measurement_method,scenario,variable,value,scheme,phase,m,B_MB,s,c,n,seconds,seconds_stddev,repeats,ok
protocol_execution,vary_s,s,60,XuTIFS26,Verify,5,10,60,690,5209,0.344419458,0.01218247,3,True
protocol_execution,vary_s,s,60,XuTIFS26,Audit,5,10,60,690,5209,0.587575931,0.017565768,3,True
protocol_execution,vary_s,s,60,FoldAudit,Store,5,10,60,690,5209,3.954644528,0.031771186,3,True
protocol_execution,vary_s,s,60,FoldAudit,Challenge,5,10,60,690,5209,0.000914278,7.9906e-05,3,True
protocol_execution,vary_s,s,60,FoldAudit,ProofGen,5,10,60,690,5209,0.277712778,0.002694518,3,True
protocol_execution,vary_s,s,60,FoldAudit,Verify,5,10,60,690,5209,0.354748028,0.003863454,3,True
protocol_execution,vary_s,s,60,FoldAudit,Audit,5,10,60,690,5209,0.633375084,0.005303418,3,True
protocol_execution,vary_s,s,80,YuTC25,Store,5,10,80,690,3907,3.215808556,0.043059317,3,True
protocol_execution,vary_s,s,80,YuTC25,Challenge,5,10,80,690,3907,0.010952792,0.000293821,3,True
protocol_execution,vary_s,s,80,YuTC25,ProofGen,5,10,80,690,3907,0.298646639,0.006307672,3,True
protocol_execution,vary_s,s,80,YuTC25,Verify,5,10,80,690,3907,0.408182723,0.007715872,3,True
protocol_execution,vary_s,s,80,YuTC25,Audit,5,10,80,690,3907,0.717782153,0.010693256,3,True
protocol_execution,vary_s,s,80,ZhangTPDS23,Store,5,10,80,690,3907,6.00845757,0.029560819,3,True
protocol_execution,vary_s,s,80,ZhangTPDS23,Challenge,5,10,80,690,3907,0.01066657,4.1164e-05,3,True
protocol_execution,vary_s,s,80,ZhangTPDS23,ProofGen,5,10,80,690,3907,0.565405722,0.003518069,3,True
protocol_execution,vary_s,s,80,ZhangTPDS23,Verify,5,10,80,690,3907,0.835042945,0.016385353,3,True
protocol_execution,vary_s,s,80,ZhangTPDS23,Audit,5,10,80,690,3907,1.411115237,0.014927773,3,True
protocol_execution,vary_s,s,80,MiaoSCIS2026,Store,5,10,80,690,3907,4.653027778,0.036285052,3,True
protocol_execution,vary_s,s,80,MiaoSCIS2026,Challenge,5,10,80,690,3907,0.00551725,3.7956e-05,3,True
