measurement_method,scenario,variable,value,scheme,phase,m,B_MB,s,c,n,seconds,seconds_stddev,repeats,ok
protocol_execution,vary_m,m,20,ZhangTPDS23,Verify,20,10,20,690,15625,3.422279389,0.05998439,3,True
protocol_execution,vary_m,m,20,ZhangTPDS23,Audit,20,10,20,690,15625,4.969467027,0.059171414,3,True
protocol_execution,vary_m,m,20,MiaoSCIS2026,Store,20,10,20,690,15625,75.69339643,0.201919353,3,True
protocol_execution,vary_m,m,20,MiaoSCIS2026,Challenge,20,10,20,690,15625,0.020142542,0.000511059,3,True
protocol_execution,vary_m,m,20,MiaoSCIS2026,ProofGen,20,10,20,690,15625,1.104093403,0.008566974,3,True
protocol_execution,vary_m,m,20,MiaoSCIS2026,Verify,20,10,20,690,15625,2.180935625,0.011624279,3,True
protocol_execution,vary_m,m,20,MiaoSCIS2026,Audit,20,10,20,690,15625,3.30517157,0.015211588,3,True
protocol_execution,vary_m,m,20,XuTIFS26,Store,20,10,20,690,15625,34.528791959,0.378168806,3,True
protocol_execution,vary_m,m,20,XuTIFS26,Challenge,20,10,20,690,15625,0.002119597,0.000105566,3,True
protocol_execution,vary_m,m,20,XuTIFS26,ProofGen,20,10,20,690,15625,0.340177306,0.007581819,3,True
protocol_execution,vary_m,m,20,XuTIFS26,Verify,20,10,20,690,15625,1.382092958,0.020819796,3,True
protocol_execution,vary_m,m,20,XuTIFS26,Audit,20,10,20,690,15625,1.724389861,0.028407635,3,True
protocol_execution,vary_m,m,20,FoldAudit,Store,20,10,20,690,15625,35.560914542,0.052546654,3,True
protocol_execution,vary_m,m,20,FoldAudit,Challenge,20,10,20,690,15625,0.003514569,0.000325959,3,True
protocol_execution,vary_m,m,20,FoldAudit,ProofGen,20,10,20,690,15625,0.4756975,0.045895503,3,True
protocol_execution,vary_m,m,20,FoldAudit,Verify,20,10,20,690,15625,1.482440972,0.028239099,3,True
protocol_execution,vary_m,m,20,FoldAudit,Audit,20,10,20,690,15625,1.961653041,0.073352587,3,True
protocol_execution,vary_m,m,25,YuTC25,Store,25,10,20,690,15625,43.518791722,0.191704091,3,True
protocol_execution,vary_m,m,25,YuTC25,Challenge,25,10,20,690,15625,0.055816945,0.001185828,3,True
protocol_execution,vary_m,m,25,YuTC25,ProofGen,25,10,20,690,15625,0.388962819,0.003779675,3,True
protocol_execution,vary_m,m,25,YuTC25,Verify,25,10,20,690,15625,1.798931833,0.037490772,3,True
protocol_execution,vary_m,m,25,YuTC25,Audit,25,10,20,690,15625,2.243711597,0.040332412,3,True
protocol_execution,vary_m,m,25,ZhangTPDS23,Store,25,10,20,690,15625,99.886139473,0.207596993,3,True
protocol_execution,vary_m,m,25,ZhangTPDS23,Challenge,25,10,20,690,15625,0.053402056,0.003215352,3,True
